Monday,,,
GameID,Away,Home,IsNeutral
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Wednesday,,,
GameID,Away,Home,IsNeutral
1635,COLO,AZST,0
1636,MIZZ,AUB,0
1637,TLDO,BALL,0
1638,TEX,BAYL,0
1639,PITT,BC,0
1640,PEPP,BYU,0
1641,WASH,CAL,0
1642,USF,CINC,0
1643,USM,CCU,0
1644,UNLV,CSU,0
1645,BUT,CREI,0
1646,URI,DAV,0
1647,GEOT,DPU,0
1648,ARMY,ECU,0
1649,KENT,EMU,0
1650,XAV,EVAN,0
1651,NMSU,FIU,0
1652,ARK,FLA,0
1653,LT,FAU,0
1654,APST,FGCU,0
1655,BOIS,FRES,0
1656,RICH,GMU,0
1657,MISS,UGA,0
1658,TXST,GAST,0
1659,NCST,GT,0
1660,TLNE,UHOU,0
1661,MINN,ILLI,0
1662,RUTG,IND,0
1663,ARST,JMU,0
1664,CHAR,LU,0
1665,GASO,ULL,0
1666,CMU,ULM,0
1667,CLEM,LOU,0
1668,UCI,LMU,0
1669,TENN,LSU,0
1670,CONN,MARQ,0
1671,MICH,UMD,0
1672,BUFF,MIAO,0
1673,OHST,MIST,0
1674,BAMA,MSST,0
1675,MEMP,NAVY,0
1676,IOWA,NEB,0
1677,SDSU,NEV,0
1678,HAWI,UNM,0
1679,FSU,UNC,0
1680,JU,UNT,0
1681,SDST,NIU,0
1682,AKRN,OHIO,0
1683,IAST,OKLA,0
1684,MRSH,ODU,0
1685,UTAH,ORST,0
1686,SF,PAC,0
1687,NW,PNST,0
1688,LUC,JOES,0
1689,DUQ,SLU,0
1690,PORT,SMC,0
1691,USD,SCU,0
1692,GONZ,SEAU,0
1693,VILL,HALL,0
1694,FOR,SBON,0
1695,PROV,SJU,0
1696,ZONA,STAN,0
1697,ND,CUSE,0
1698,KSST,TCU,0
1699,SOCA,TAMU,0
1700,OKST,TTU,0
1701,USA,TROY,0
1702,TEMP,UCF,0
1703,OREG,UCLA,0
1704,GW,MASS,0
1705,TULS,UMBC,0
1706,WAST,USC,0
1707,SJSU,UTST,0
1708,RICE,UTEP,0
1709,MTSU,UTSA,0
1710,UKEN,VAND,0
1711,DAY,UVA,0
1712,LAS,VCU,0
1713,DUKE,VT,0
1714,MIAF,WAKE,0
1715,KANS,WVU,0
1716,UAB,WKU,0
1717,BGSU,WMU,0
1718,SMU,WICH,0
1719,PURD,WISC,0
1720,USAF,WYOM,0
