Monday,,,
GameID,Away,Home,IsNeutral
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Wednesday,,,
GameID,Away,Home,IsNeutral
2323,UNLV,USAF,0
2324,CAL,ZONA,0
2325,UGA,ARK,0
2326,TENN,AUB,0
2327,BGSU,BALL,0
2328,WYOM,BOIS,0
2329,HALL,BUT,0
2330,SDST,CMU,0
2331,UTEP,CHAR,0
2332,SMU,CINC,0
2333,DUKE,CLEM,0
2334,WAST,COLO,0
2335,SDSU,CSU,0
2336,DPU,CREI,0
2337,SBON,DAV,0
2338,GMU,DUQ,0
2339,TULS,ECU,0
2340,BUFF,EMU,0
2341,SOCA,FLA,0
2342,TXST,FGCU,0
2343,CUSE,FSU,0
2344,HAWI,FRES,0
2345,URI,GW,0
2346,CCU,GASO,0
2347,ARST,GAST,0
2348,ND,GT,0
2349,BYU,GONZ,0
2350,MEMP,UHOU,0
2351,WISC,IOWA,0
2352,TEX,IAST,0
2353,WKU,JU,0
2354,USM,JMU,0
2355,TCU,KANS,0
2356,OKLA,KSST,0
2357,AKRN,KENT,0
2358,UNT,LU,0
2359,APST,ULL,0
2360,MRSH,ULM,0
2361,NMSU,LT,0
2362,VCU,LUC,0
2363,UKEN,LSU,0
2364,EVAN,MARQ,0
2365,PNST,UMD,0
2366,PURD,MICH,0
2367,IND,MIST,0
2368,FIU,MTSU,0
2369,MIZZ,MSST,0
2370,TEMP,NAVY,0
2371,UNC,NCST,0
2372,ILLI,NEB,0
2373,UTST,NEV,0
2374,SJSU,UNM,0
2375,MIAO,NIU,0
2376,WMU,OHIO,0
2377,NW,OHST,0
2378,WVU,OKST,0
2379,USA,ODU,0
2380,WASH,OREG,0
2381,AZST,ORST,0
2382,LMU,PAC,0
2383,PORT,PEPP,0
2384,BC,PITT,0
2385,VILL,PROV,0
2386,UTSA,RICE,0
2387,MINN,RUTG,0
2388,RICH,JOES,0
2389,LAS,SLU,0
2390,SF,SMC,0
2391,UCI,SCU,0
2392,USD,SEAU,0
2393,BAMA,TAMU,0
2394,BAYL,TTU,0
2395,DAY,TLDO,0
2396,LOU,TROY,0
2397,FAU,UAB,0
2398,ARMY,UCF,0
2399,SJU,CONN,0
2400,FOR,MASS,0
2401,USF,UMBC,0
2402,STAN,USC,0
2403,UCLA,UTAH,0
2404,MISS,VAND,0
2405,MIAF,VT,0
2406,UVA,WAKE,0
2407,TLNE,WICH,0
2408,GEOT,XAV,0
