Monday,,,,
GameID,Away,Home,IsNeutral,
689,EMU,AKRN,0,A
690,MASS,BAMA,0,A
691,STAN,ZONA,0,A
692,IAST,AUB,0,A
693,KANS,BOIS,0,A
694,NIU,BGSU,0,A
695,OHIO,BUFF,0,A
696,SJU,BUT,0,A
697,VT,CLEM,0,A
698,SMU,CCU,0,A
699,AZST,COLO,0,A
700,SOCA,CSU,0,A
701,KENT,DAV,0,A
702,SBON,DAY,0,A
703,WAKE,DUKE,0,A
704,ARK,ECU,0,A
705,LT,EVAN,0,A
706,WYOM,FIU,0,A
707,URI,FLA,0,A
708,FRES,FAU,0,A
709,NCST,FSU,0,A
710,APST,GMU,0,A
711,ARST,GW,0,A
712,UKEN,UGA,0,A
713,USF,GASO,0,A
714,NEV,UHOU,0,A
715,ILLI,IOWA,0,A
716,UAB,JMU,0,A
717,FOR,LAS,0,A
718,CHAR,ULM,0,A
719,UNM,LMU,0,A
720,SLU,MARQ,0,A
721,MSST,MEMP,0,A
722,DPU,MIAF,0,A
723,NW,MICH,0,A
724,UMD,MIST,0,A
725,BYU,MTSU,0,A
726,PNST,MINN,0,A
727,IND,NEB,0,A
728,SCU,NMSU,0,A
729,SDSU,UNT,0,A
730,BC,ND,0,A
731,WISC,OHST,0,A
732,TEX,OKLA,0,A
733,DUQ,OKST,0,A
734,NAVY,ODU,0,A
735,GEOT,MISS,0,A
736,UCLA,OREG,0,A
737,CONN,PAC,0,A
738,HAWI,PEPP,0,A
739,UNC,PITT,0,A
740,LU,PORT,0,A
741,GT,PROV,0,A
742,PURD,RUTG,0,A
743,CREI,JOES,0,A
744,RICH,USD,0,A
745,RICE,SF,0,A
746,SJSU,SEAU,0,A
747,SMC,USA,0,A
748,BALL,SDST,0,A
749,UTST,USM,0,A
750,LOU,CUSE,0,A
751,GAST,TEMP,0,A
752,ARMY,TAMU,0,A
753,UTEP,TXST,0,A
754,LUC,TTU,0,A
755,CMU,TLDO,0,A
756,MRSH,TROY,0,A
757,GONZ,TLNE,0,A
758,ULL,TULS,0,A
759,JU,UCI,0,A
760,USAF,UCF,0,A
761,TCU,UMBC,0,A
762,FGCU,UNLV,0,A
763,ORST,UTAH,0,A
764,TENN,UTSA,0,A
765,VAND,VILL,0,A
766,LSU,UVA,0,A
767,BAYL,VCU,0,A
768,CAL,WASH,0,A
769,USC,WAST,0,A
770,KSST,WVU,0,A
771,MIZZ,WKU,0,A
772,MIAO,WMU,0,A
773,HALL,WICH,0,A
774,CINC,XAV,0,A
,,,,
,,,,
,,,,
Wednesday,,,,
GameID,Away,Home,IsNeutral,
775,BGSU,USAF,0,B
776,UTST,APST,0,B
777,OREG,AZST,0,B
778,BAMA,AUB,0,B
779,KENT,BALL,0,B
780,HALL,BAYL,0,B
781,CLEM,BC,0,B
782,USF,BYU,0,B
783,WAST,CAL,0,B
784,SMC,CHAR,0,B
785,WICH,CSU,0,B
786,CUSE,CREI,0,B
787,DUQ,DAV,0,B
788,OKLA,DPU,0,B
789,USD,ECU,0,B
790,CMU,EMU,0,B
791,SJSU,FIU,0,B
792,PORT,FAU,0,B
793,URI,FOR,0,B
794,VCU,GMU,0,B
795,LAS,GW,0,B
796,WVU,GEOT,0,B
797,FSU,UGA,0,B
798,GAST,GASO,0,B
799,PITT,GT,0,B
800,BOIS,GONZ,0,B
801,OHST,ILLI,0,B
802,IOWA,IND,0,B
803,ARMY,JU,0,B
804,ODU,JMU,0,B
805,LOU,UKEN,0,B
806,ULM,ULL,0,B
807,NEV,LT,0,B
808,JOES,LUC,0,B
809,TEMP,LMU,0,B
810,MIZZ,LSU,0,B
811,ARST,MRSH,0,B
812,NEB,UMD,0,B
813,UNM,MEMP,0,B
814,SDST,MIAO,0,B
815,SOCA,MSST,0,B
816,MTSU,NAVY,0,B
817,MIAF,NCST,0,B
818,HAWI,NMSU,0,B
819,DUKE,UNC,0,B
820,AKRN,NIU,0,B
821,RUTG,NW,0,B
822,TLDO,OHIO,0,B
823,BUT,OKST,0,B
824,ARK,MISS,0,B
825,ZONA,ORST,0,B
826,SMU,PAC,0,B
827,MIST,PNST,0,B
828,UCF,PEPP,0,B
829,IAST,PROV,0,B
830,MINN,PURD,0,B
831,WYOM,RICE,0,B
832,SLU,RICH,0,B
833,UTEP,SDSU,0,B
834,UHOU,SF,0,B
835,TLNE,SCU,0,B
836,UNT,SEAU,0,B
837,USM,USA,0,B
838,EVAN,SBON,0,B
839,KSST,SJU,0,B
840,COLO,STAN,0,B
841,CONN,TCU,0,B
842,MARQ,TEX,0,B
843,FLA,TAMU,0,B
844,CCU,TXST,0,B
845,XAV,TTU,0,B
846,FGCU,TROY,0,B
847,TULS,UAB,0,B
848,WASH,UCLA,0,B
849,DAY,MASS,0,B
850,UCI,UMBC,0,B
851,LU,UNLV,0,B
852,UTAH,USC,0,B
853,FRES,UTSA,0,B
854,TENN,VAND,0,B
855,KANS,VILL,0,B
856,UVA,VT,0,B
857,ND,WAKE,0,B
858,CINC,WKU,0,B
859,BUFF,WMU,0,B
860,MICH,WISC,0,B
