Monday,,,
GameID,Away,Home,IsNeutral
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Wednesday,,,
GameID,Away,Home,IsNeutral
1807,WMU,AKRN,0
1808,WASH,AZST,0
1809,BAMA,ARK,0
1810,USF,ARMY,0
1811,UGA,AUB,0
1812,OKLA,BAYL,0
1813,UVA,BC,0
1814,SEAU,BYU,0
1815,OHIO,CMU,0
1816,TULS,CINC,0
1817,GASO,CCU,0
1818,USAF,CSU,0
1819,PROV,CREI,0
1820,GW,DAV,0
1821,FOR,DAY,0
1822,HALL,DPU,0
1823,BALL,EMU,0
1824,VILL,EVAN,0
1825,FAU,FIU,0
1826,TENN,FLA,0
1827,GAST,FGCU,0
1828,MIAF,FSU,0
1829,MASS,GMU,0
1830,DUKE,GT,0
1831,NW,ILLI,0
1832,PURD,IND,0
1833,OHST,IOWA,0
1834,LU,JU,0
1835,APST,JMU,0
1836,NIU,KENT,0
1837,TXST,ULL,0
1838,USA,ULM,0
1839,WKU,LT,0
1840,USD,LMU,0
1841,VAND,LSU,0
1842,XAV,MARQ,0
1843,BUFF,MRSH,0
1844,MINN,UMD,0
1845,ECU,MEMP,0
1846,RUTG,MIST,0
1847,UTEP,MTSU,0
1848,MISS,MSST,0
1849,PITT,NCST,0
1850,MICH,NEB,0
1851,UNLV,NEV,0
1852,BOIS,UNM,0
1853,UTSA,NMSU,0
1854,ND,UNC,0
1855,KANS,OKST,0
1856,USM,ODU,0
1857,COLO,ORST,0
1858,PORT,PAC,0
1859,WISC,PNST,0
1860,CHAR,RICE,0
1861,URI,JOES,0
1862,RICH,SLU,0
1863,PEPP,SMC,0
1864,SDSU,SJSU,0
1865,GONZ,SCU,0
1866,NAVY,SMU,0
1867,MIZZ,SOCA,0
1868,BGSU,SDST,0
1869,DUQ,SBON,0
1870,GEOT,SJU,0
1871,OREG,STAN,0
1872,LAS,CUSE,0
1873,TEX,TCU,0
1874,UMBC,TEMP,0
1875,UKEN,TAMU,0
1876,KSST,TTU,0
1877,MIAO,TLDO,0
1878,ARST,TROY,0
1879,UCF,TLNE,0
1880,UNT,UAB,0
1881,SF,UCI,0
1882,WAST,UCLA,0
1883,BUT,CONN,0
1884,CAL,USC,0
1885,ZONA,UTAH,0
1886,HAWI,UTST,0
1887,LUC,VCU,0
1888,LOU,VT,0
1889,CLEM,WAKE,0
1890,IAST,WVU,0
1891,UHOU,WICH,0
1892,FRES,WYOM,0
