Monday,,,,
GameID,Away,Home,IsNeutral,
517,PROV,USAF,0,
518,DPU,AKRN,0,
519,SLU,BAMA,0,
520,DAV,ARK,0,
521,WAST,ARMY,1,
522,BUFF,BALL,0,
523,ARST,BAYL,0,
524,TENN,BOIS,0,
525,NCST,BC,0,
526,DAY,BUT,0,
527,FGCU,BYU,0,
528,UHOU,CAL,0,
529,ND,CLEM,0,
530,TEMP,COLO,0,
531,UCLA,CREI,0,
532,NEB,ECU,0,
533,TLDO,EVAN,0,
534,WICH,FLA,0,
535,UNLV,FOR,0,
536,ZONA,FRES,0,
537,SEAU,GMU,0,
538,MIST,GW,0,
539,UCI,GEOT,0,
540,WVU,UGA,1,
541,KSST,GASO,0,
542,JU,GONZ,0,
543,MISS,HAWI,0,
544,LAS,ILLI,0,
545,UKEN,IND,1,
546,FIU,IOWA,0,
547,NEV,IAST,0,
548,UTST,KANS,0,
549,BGSU,KENT,0,
550,ORST,ULL,0,
551,STAN,ULM,0,
552,PEPP,LT,0,
553,PITT,LOU,0,
554,UTEP,LMU,0,
555,PURD,MARQ,1,
556,CINC,MRSH,0,
557,SJU,UMD,0,
558,CCU,MICH,0,
559,JMU,MTSU,0,
560,OKLA,MSST,0,
561,LUC,NAVY,0,
562,LU,UNM,0,
563,NW,UNC,0,
564,WMU,NIU,0,
565,MINN,OHIO,0,
566,MIZZ,OKST,0,
567,USD,ODU,0,
568,UAB,OREG,0,
569,PNST,URI,0,
570,NMSU,RICH,0,
571,MIAO,RUTG,0,
572,CSU,JOES,0,
573,AZST,SMC,0,
574,USC,SDSU,0,
575,SOCA,SF,0,
576,DUQ,SCU,0,
577,MEMP,HALL,0,
578,FAU,SMU,0,
579,PORT,USA,0,
580,GAST,SDST,0,
581,WYOM,USF,0,
582,VCU,USM,0,
583,MIAF,CUSE,0,
584,OHST,TEX,0,
585,TCU,TAMU,0,
586,UNT,TXST,0,
587,LSU,TTU,0,
588,UTSA,TROY,0,
589,EMU,TULS,0,
590,CMU,UCF,0,
591,RICE,MASS,0,
592,CONN,UMBC,0,
593,APST,UTAH,0,
594,SJSU,VAND,0,
595,CHAR,VILL,0,
596,DUKE,UVA,0,
597,FSU,VT,0,
598,GT,WAKE,0,
599,SBON,WASH,0,
600,PAC,WKU,0,
601,TLNE,WISC,0,
602,AUB,XAV,0,
,,,,
,,,,
,,,,
Wednesday,,,,
GameID,Away,Home,IsNeutral,
603,ARMY,USAF,0,
604,SDST,AKRN,0,
605,FOR,APST,0,
606,TTU,ZONA,0,
607,WAST,AZST,0,
608,UMBC,ARK,0,
609,RICH,ARST,0,
610,CMU,BALL,0,
611,MEMP,BOIS,0,
612,BUFF,BGSU,0,
613,UMD,BUT,0,
614,GEOT,CHAR,0,
615,USD,CINC,0,
616,SDSU,COLO,0,
617,GONZ,CREI,0,
618,GAST,DAV,0,
619,USA,DAY,0,
620,UTAH,DPU,0,
621,LOU,DUKE,0,
622,TROY,DUQ,0,
623,WMU,ECU,0,
624,MIAO,EMU,0,
625,UGA,EVAN,0,
626,MISS,FIU,0,
627,WICH,FAU,0,
628,GW,FGCU,0,
629,BC,FSU,0,
630,OKLA,FRES,0,
631,GMU,GASO,0,
632,UNC,GT,0,
633,MARQ,UHOU,0,
634,BYU,IOWA,0,
635,CSU,IAST,0,
636,SJU,JU,0,
637,WISC,KANS,0,
638,NEB,KSST,0,
639,ODU,LAS,0,
640,VAND,LU,0,
641,URI,ULL,0,
642,PAC,LT,0,
643,JMU,LUC,0,
644,BAMA,LMU,0,
645,MIST,LSU,0,
646,SBON,MRSH,0,
647,VT,MIAF,0,
648,XAV,MICH,0,
649,SJSU,MTSU,0,
650,WKU,MINN,0,
651,RICE,NAVY,0,
652,WAKE,NCST,0,
653,UCF,NEV,0,
654,BAYL,NMSU,0,
655,TLDO,NIU,0,
656,SCU,NW,0,
657,UVA,ND,0,
658,KENT,OHIO,0,
659,IND,OHST,0,
660,UCI,ORST,0,
661,TAMU,PEPP,0,
662,CUSE,PITT,0,
663,TEX,PORT,0,
664,FLA,PROV,0,
665,PNST,PURD,0,
666,SEAU,RUTG,0,
667,USC,SF,0,
668,TENN,HALL,0,
669,SMC,SMU,0,
670,HAWI,SOCA,0,
671,AUB,USF,0,
672,JOES,USM,0,
673,UNM,STAN,0,
674,ILLI,TCU,0,
675,OKST,TEMP,0,
676,SLU,TXST,0,
677,OREG,TLNE,0,
678,MSST,UAB,0,
679,CAL,UCLA,0,
680,WVU,CONN,0,
681,CCU,MASS,0,
682,UNT,UNLV,0,
683,UKEN,UTST,0,
684,TULS,UTEP,0,
685,CLEM,VILL,0,
686,ULM,VCU,0,
687,MIZZ,WASH,0,
688,UTSA,WYOM,0,
